,overall_qual,gr_liv_area,garage_cars,garage_area,total_bsmt_sf,1st_flr_sf,year_built,full_bath,year_remod/add,mas_vnr_area,saleprice
0,6,1656,2.0,528.0,1080.0,1656,1960,1,1960,112.0,215000
1,5,896,1.0,730.0,882.0,896,1961,1,1961,0.0,105000
2,6,1329,1.0,312.0,1329.0,1329,1958,1,1958,108.0,172000
3,7,2110,2.0,522.0,2110.0,2110,1968,2,1968,0.0,244000
4,5,1629,2.0,482.0,928.0,928,1997,2,1998,0.0,189900
5,6,1604,2.0,470.0,926.0,926,1998,2,1998,20.0,195500
6,8,1338,2.0,582.0,1338.0,1338,2001,2,2001,0.0,213500
7,8,1280,2.0,506.0,1280.0,1280,1992,2,1992,0.0,191500
8,8,1616,2.0,608.0,1595.0,1616,1995,2,1996,0.0,236500
9,7,1804,2.0,442.0,994.0,1028,1999,2,1999,0.0,189000
10,6,1655,2.0,440.0,763.0,763,1993,2,1994,0.0,175900
11,6,1187,2.0,420.0,1168.0,1187,1992,2,2007,0.0,185000
12,6,1465,2.0,393.0,789.0,789,1998,2,1998,0.0,180400
13,7,1341,2.0,506.0,1300.0,1341,1990,1,1990,0.0,171500
14,8,1502,2.0,528.0,1488.0,1502,1985,1,1985,0.0,212000
15,8,3279,3.0,841.0,1650.0,1690,2003,3,2003,603.0,538000
16,8,1752,2.0,492.0,559.0,1080,1988,2,2005,0.0,164000
17,9,1856,3.0,834.0,1856.0,1856,2010,1,2010,350.0,394432
18,4,864,2.0,400.0,864.0,864,1951,1,1951,0.0,141000
19,6,2073,2.0,500.0,1542.0,2073,1978,2,1988,119.0,210000
20,6,1844,2.0,546.0,1844.0,1844,1977,2,1977,480.0,190000
21,7,1173,2.0,528.0,1053.0,1173,1974,2,1974,81.0,170000
22,7,1674,2.0,663.0,814.0,814,2000,2,2000,0.0,216000
23,6,1004,2.0,480.0,1004.0,1004,1970,1,1970,180.0,149000
24,5,1078,2.0,500.0,1078.0,1078,1971,1,2008,0.0,149900
25,5,1056,1.0,304.0,1056.0,1056,1968,1,1968,0.0,142000
26,4,882,2.0,525.0,882.0,882,1970,1,1970,0.0,126000
27,4,864,0.0,0.0,864.0,864,1971,1,1971,0.0,115000
28,7,1337,2.0,511.0,1405.0,1337,1999,2,1999,0.0,184000
29,6,987,1.0,264.0,483.0,483,1971,1,1971,504.0,96000
30,5,1092,1.0,320.0,525.0,525,1971,1,1971,492.0,105500
31,6,1092,1.0,264.0,525.0,525,1971,1,1971,381.0,88000
32,6,1069,2.0,440.0,1069.0,1069,1977,2,1977,0.0,127500
33,6,1456,2.0,440.0,855.0,855,1975,2,1975,0.0,149900
34,7,836,1.0,308.0,836.0,836,1975,1,1975,0.0,120000
35,6,1456,2.0,440.0,855.0,855,1978,2,1978,0.0,146000
36,9,2334,3.0,751.0,1590.0,1627,2009,2,2010,162.0,376162
37,8,1704,3.0,772.0,1704.0,1704,2007,2,2008,200.0,306000
38,9,1940,3.0,606.0,1930.0,1940,2009,2,2010,450.0,395192
39,8,1544,3.0,868.0,1544.0,1544,2009,2,2010,256.0,290941
40,7,1541,2.0,532.0,1541.0,1541,2005,2,2005,226.0,220000
41,9,1698,3.0,730.0,1698.0,1698,2005,2,2005,615.0,275000
42,8,1822,3.0,678.0,1822.0,1822,2005,2,2006,240.0,259000
43,7,1535,2.0,532.0,1517.0,1535,2004,2,2004,168.0,214000
44,9,2364,3.0,820.0,2330.0,2364,2009,2,2010,760.0,611657
45,7,1358,2.0,484.0,1358.0,1358,2009,2,2010,128.0,224000
46,9,2696,3.0,958.0,2846.0,2696,2003,2,2004,1095.0,500000
47,8,2250,3.0,756.0,1671.0,1687,2002,2,2002,232.0,320000
48,9,1752,2.0,576.0,1752.0,1752,2005,2,2005,412.0,319900
49,8,1370,2.0,484.0,1370.0,1370,2006,2,2006,178.0,205000
50,7,1626,2.0,474.0,764.0,764,2003,2,2003,106.0,175500
51,6,1324,2.0,430.0,1324.0,1324,2005,2,2005,0.0,199500
52,7,1145,2.0,437.0,1145.0,1145,2006,2,2006,14.0,160000
53,8,1269,2.0,430.0,1256.0,1269,2004,2,2005,16.0,192000
54,7,1374,2.0,400.0,384.0,744,2004,2,2004,0.0,184500
56,7,1733,2.0,433.0,847.0,847,2004,2,2004,0.0,185088
57,7,1430,2.0,400.0,384.0,774,2000,2,2000,0.0,180000
